Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,Unknown,1,Call Dropped,26.822080300,84.088439159,Uttar Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,25.59296153,85.13988725,Bihar
Vodafone,Indoor,3G,5,Satisfactory,28.5561032,77.2148806,NCT
RJio,Indoor,4G,2,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Indoor,4G,1,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Indoor,4G,1,Poor Voice Quality,17.3320788,78.527746,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,25.59296153,85.13988725,Bihar
Vodafone,Travelling,2G,5,Satisfactory,27.270131055,76.794287876,Rajasthan
RJio,Indoor,4G,2,Poor Voice Quality,24.28213682,87.25775655,Jharkhand
RJio,Indoor,4G,3,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Travelling,4G,1,Poor Voice Quality,17.3320788,78.527746,Telangana
RJio,Indoor,4G,1,Call Dropped,18.940095267,72.834272910,Maharashtra
RJio,Outdoor,4G,3,Satisfactory,24.28155404,87.25274423,Jharkhand
RJio,Travelling,4G,1,Poor Voice Quality,17.3320788,78.527746,Telangana
Idea,Indoor,2G,3,Poor Voice Quality,17.30366052,78.55190434,Telangana
Idea,Indoor,2G,4,Satisfactory,17.30366052,78.55190434,Telangana
Airtel,Indoor,4G,5,Satisfactory,29.21651906,78.96921131,Uttarakhand
RJio,Travelling,4G,1,Poor Voice Quality,17.3157909,78.4658775,Telangana
RJio,Indoor,4G,5,Satisfactory,22.10037957,82.15040514,Chhattisgarh
BSNL,Indoor,2G,1,Poor Voice Quality,9.4283865,77.5267205,Tamil Nadu
BSNL,Indoor,2G,1,Poor Voice Quality,9.4283865,77.5267205,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,18.976881667,73.029798333,Maharashtra
RJio,Indoor,Unknown,2,Poor Voice Quality,24.06213838,88.58288028,West Bengal
RJio,Indoor,4G,1,Call Dropped,24.06182586,88.58271511,West Bengal
Airtel,Indoor,4G,5,Satisfactory,12.9179342,80.1286315,Tamil Nadu
Vodafone,Indoor,4G,5,Satisfactory,28.6221782,77.367154,Uttar Pradesh
Vodafone,Outdoor,4G,5,Satisfactory,28.6191576,77.4254281,Uttar Pradesh
Vodafone,Outdoor,4G,5,Satisfactory,28.61904478,77.42555228,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.61904478,77.42555228,Uttar Pradesh
Vodafone,Travelling,4G,5,Satisfactory,28.6171211,77.42800685,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.61319038,77.39289891,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6222033,77.3671565,Uttar Pradesh
Vodafone,Outdoor,Unknown,5,Satisfactory,28.6222227,77.3671792,Uttar Pradesh
Vodafone,Outdoor,4G,5,Satisfactory,28.6222227,77.3671792,Uttar Pradesh
Vodafone,Outdoor,4G,5,Satisfactory,28.6222227,77.3671792,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6222149,77.367152,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6195753,77.423289,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6190946,77.4251779,Uttar Pradesh
Airtel,Outdoor,4G,5,Satisfactory,12.9179982,80.1283309,Tamil Nadu
RJio,Travelling,4G,5,Satisfactory,18.976881667,73.029798333,Maharashtra
RJio,Travelling,4G,1,Poor Voice Quality,17.3153328,78.4474018,Telangana
Airtel,Outdoor,4G,5,Satisfactory,12.9179982,80.1283309,Tamil Nadu
RJio,Indoor,4G,2,Poor Voice Quality,18.5838712,73.7604725,Maharashtra
RJio,Outdoor,4G,3,Satisfactory,24.28155404,87.25274423,Jharkhand
RJio,Outdoor,4G,3,Satisfactory,30.10486267,78.2874677,Uttarakhand
RJio,Outdoor,4G,3,Satisfactory,30.10486242,78.28755211,Uttarakhand
RJio,Outdoor,4G,3,Satisfactory,24.37564774,87.18513161,Jharkhand
RJio,Indoor,4G,5,Satisfactory,13.0226897,80.2244271,Tamil Nadu
Airtel,Outdoor,4G,5,Satisfactory,12.90082118,77.62878046,Karnataka
Vodafone,Travelling,2G,3,Satisfactory,22.692498333,72.871425,Gujarat
RJio,Indoor,4G,1,Call Dropped,24.06182586,88.58271511,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,24.06210053,88.58301217,West Bengal
Airtel,Indoor,3G,1,Call Dropped,19.0392425,72.9215721,Maharashtra
Airtel,Indoor,3G,3,Poor Voice Quality,19.0392425,72.9215721,Maharashtra
Airtel,Indoor,3G,2,Poor Voice Quality,19.0392466,72.9215696,Maharashtra
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
RJio,Indoor,4G,3,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Indoor,4G,5,Satisfactory,21.3477274,83.601296,Odisha
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
Airtel,Travelling,Unknown,3,Satisfactory,22.425005983,88.285826105,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.835610735,75.826458220,Rajasthan
RJio,Indoor,4G,1,Poor Voice Quality,21.132036552,81.375306889,Chhattisgarh
RJio,Indoor,4G,5,Satisfactory,21.18108475,72.82449968,Gujarat
RJio,Indoor,4G,4,Satisfactory,21.18065222,72.8250821,Gujarat
RJio,Indoor,4G,4,Satisfactory,21.18065222,72.8250821,Gujarat
RJio,Indoor,4G,3,Satisfactory,21.18084208,72.82472433,Gujarat
RJio,Indoor,4G,4,Satisfactory,21.1810534,72.82457785,Gujarat
RJio,Indoor,4G,4,Satisfactory,21.18105291,72.82457544,Gujarat
BSNL,Indoor,Unknown,5,Satisfactory,11.016976889,76.968633514,Tamil Nadu
RJio,Travelling,4G,5,Satisfactory,29.73799336,76.97478501,Haryana
RJio,Outdoor,4G,4,Satisfactory,25.59296153,85.13988725,Bihar
RJio,Indoor,4G,3,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Outdoor,4G,4,Satisfactory,25.59296153,85.13988725,Bihar
RJio,Indoor,4G,3,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Indoor,4G,1,Poor Voice Quality,25.59296153,85.13988725,Bihar
RJio,Travelling,4G,2,Call Dropped,22.395226,87.560445,West Bengal
Airtel,Indoor,Unknown,3,Satisfactory,13.03380531,77.55825775,Karnataka
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
Airtel,Indoor,4G,1,Poor Voice Quality,22.5332786,88.3808595,West Bengal
Airtel,Indoor,4G,5,Satisfactory,22.5332786,88.3808595,West Bengal
Airtel,Indoor,4G,5,Satisfactory,22.5332786,88.3808595,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,26.861244,75.7953754,Rajasthan
Vodafone,Indoor,3G,5,Satisfactory,26.86166117,75.79589721,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,26.86166117,75.79589721,Rajasthan
Vodafone,Indoor,3G,5,Satisfactory,26.84657683,75.76688411,Rajasthan
